Site,URL
Plisetskaya,"https://www.google.com/maps/place/Maya+Plisetskaya+Square/@55.7617367,37.6142106,3a,75y,63.61h,94.27t/data=!3m7!1e1!3m5!1sD9pfK_rCGWLUoANRWqRBXw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-4.268178223133674%26panoid%3DD9pfK_rCGWLUoANRWqRBXw%26yaw%3D63.609647768090454!7i16384!8i8192!4m13!1m2!2m1!1splesetskaya+square!3m9!1s0x46b54a447d0f7b39:0x8b048fa12f794f88!8m2!3d55.7618074!4d37.6145153!10e5!14m1!1BCgIgARICCAI!15sChJwbGlzZXRza2F5YSBzcXVhcmWSARJ0b3VyaXN0X2F0dHJhY3Rpb27gAQA!16s%2Fg%2F11g9df2vb_?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Maya+Plisetskaya+Square/@55.7617645,37.6144829,3a,75y,341.49h,120.99t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDE8bzaQQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Hbm3lhKQMEVbdtPGu_a31ZdjIM36FClFlAigtSA4xEmSRFpHvUY8cHOKb6K5vSOGJcTiG25_Vvc9quoz_krOUjoRBLa1f3ohX-lr5oRTJgcd52d46SVtNPJncL9x_hdGSVQJCm8%3Dw900-h600-k-no-pi-30.98947134712681-ya341.48574767169293-ro0-fo100!7i14000!8i7000!4m13!1m2!2m1!1splesetskaya+square!3m9!1s0x46b54a447d0f7b39:0x8b048fa12f794f88!8m2!3d55.7618074!4d37.6145153!10e5!14m1!1BCgIgARICCAI!15sChJwbGlzZXRza2F5YSBzcXVhcmWSARJ0b3VyaXN0X2F0dHJhY3Rpb26qAVMQASoWIhJwbGlzZXRza2F5YSBzcXVhcmUoADIfEAEiG1Wud2oSRTTyF-ZwmGWBMGo2q_U2PEhdxdsMwTIWEAIiEnBsaXNldHNrYXlhIHNxdWFyZeABAA!16s%2Fg%2F11g9df2vb_?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
Ukrainian Motherland,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.4265491,30.5630489,3a,75y,194.37h,116.13t/data=!3m8!1e1!3m6!1sAF1QipN70FCDZY3Zy3-7YNnY1gS0wmnd_p2f_pWbgnVs!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN70FCDZY3Zy3-7YNnY1gS0wmnd_p2f_pWbgnVs%3Dw203-h100-k-no-pi-18.231512-ya169.98392-ro-0-fo100!7i8704!8i4352!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI0MDkxMS4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.426475,30.5630008,3a,75y,254.41h,79.06t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICEvZyG9wE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HaUQHGq7444Rz-guq4gOVtpS-99q2czbbl-PcgO77b-bBCwYyBwQIWu7UePRmTzHz7gPhHnA8say0kMnvQgv1mRVBFO-kr-xL82-jtMVBrhnncY-Z5GwI87TL7oJgB0OsrXCdhRKQ%3Dw900-h600-k-no-pi10.936047074125497-ya3.4116449984235544-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.428453,30.564037,3a,75y,213h,91.81t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgID6vMyZCg!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZRAwzKImn3J9dohRyvB_hBkvVNZtYQa7hQ16rJu0Ot2BCwnd1nHvHE4wDUOIQWM5cfWS6xjJsLBvKfVch4iANqgZAYCxEYxOC6BARxG--INtsxhcRQRlZVUSb6Gmsd0Li9nZ4H%3Dw900-h600-k-no-pi-1.8141592418408976-ya4.606213321563786-ro0-fo100!7i12000!8i6000!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.4267294,30.5631373,3a,75y,7.77h,95.99t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgID8janavAE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HaX9wz0ALdQEpnG8EO_06ZXCLxr_Hqgeeh8uHnHY1eWxVyxk-KHrRqmnMiRScAYtxiD5UZJNLffNV8ZU18US1wCAVd8MqohO4O7zFz14_pBXiJBZphqbUPwtnshqn-_H0_V0wIHLg%3Dw900-h600-k-no-pi-5.992738404816549-ya4.628621628973235-ro0-fo100!7i8192!8i4096!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.4266383,30.5630275,3a,75y,277.71h,77.55t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICE9ofXJQ!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZ-Migd4BZFK58608QNmacAXt9RAlUM2iNBQZEN24q7PcvdhCAjXLx17a3b-ie7S5cYrr138f0C38cgUFNsKHVyPmyFvlO49_dg1G3ID-PMQIKlo7uOMJfkUykMg4Mqm1tM5DQ%3Dw900-h600-k-no-pi12.453908163695417-ya277.7119886708316-ro0-fo100!7i12348!8i6174!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.4265249,30.5630521,3a,75y,128.64h,86.68t/data=!3m8!1e1!3m6!1sCIHM0ogKEMmj6PCGsbTLrAE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6Hbz2Xp2mQbvHepk2IuYRiUhwPJqnQLGWl6Voqlk6BCwXC5h9EXZTg-UCGVgNh3QebzSjRvPghM-KYOB1JrO73De35TfmTON1MUUAjvdLzVJSGwOQgUteEWFLIJRUsnq6v_K2AOW%3Dw900-h600-k-no-pi3.3153208483219885-ya310.6372961051583-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.4265249,30.5630521,3a,75y,11.13h,95.43t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgICGv8O28AE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZMm0EX6bym1Bq0t_xxiXHdTYnzYZFHWIX5xFYY5D2CUoiXM7rlHE1_AV_SZKrozrXAsPz59KUqakcQ_1Y1_rfthhZHkrROYoSxJQZJmSD_2S9FFu8gHqy5AmCivulC__x2sjhq%3Dw900-h600-k-no-pi-5.425703687254696-ya11.132202413525436-ro0-fo100!7i6000!8i3000!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
,"https://www.google.com/maps/place/Ukrainian+Motherland+Monument/@50.4265826,30.5630543,3a,75y,88.66h,91.16t/data=!3m8!1e1!3m6!1sCIHM0ogKEICAgIDkhuKtjQE!2e10!3e11!6shttps:%2F%2Flh3.googleusercontent.com%2Fgpms-cs-s%2FAB8u6HZUdQbHvfjDp0wEnA5Ym78t7XSVT94U_YpnCfRWbGbwUvYAKSSItiuJ8h2TDxwA2k2EGFYRAcSsIr5_Oj7T0ZSTzVsWttcUowKgk-2fDdBnR8QXJfUiXRyDuFnLlusF82ifKf0Z%3Dw900-h600-k-no-pi-1.1615814035389747-ya319.661521014432-ro0-fo100!7i8704!8i4352!4m9!3m8!1s0x40d4cf76e65d4dad:0x247b398f405dff8f!8m2!3d50.4265249!4d30.5630521!10e5!14m1!1BCgIgARICCAI!16s%2Fm%2F04jpnty?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D"
